,Html Form,Attachments,Flash content,Html iFrame,HTML content,URLs,External Resources,Javascript,Css,IPs in URLs,@ in URLs,Encoding,label
0,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
1,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
2,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
3,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
4,False,0,False,False,True,0,0,0,0,False,False,quoted-printable,ham
5,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
6,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
7,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
8,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
9,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
10,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
11,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
12,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
13,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
14,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
15,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
16,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
17,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
18,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
19,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
20,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
21,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
22,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
23,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
24,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
25,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
26,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
27,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
28,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
29,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
30,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
31,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
32,False,0,False,False,True,0,0,0,0,False,False,7bit,ham
