"","Html Form","Attachments","Flash content","Html iFrame","HTML content","URLs","External Resources","Javascript","Css","IPs in URLs","@ in URLs","Encoding","label"
"0","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"1","False","0","False","False","True","2","0","0","0","False","False","7bit","phish"
"2","False","0","False","False","True","2","0","0","0","False","False","7bit","phish"
"3","False","0","False","False","True","3","0","0","0","True","False","8bit","phish"
"4","False","0","False","False","True","3","0","0","0","True","False","8bit","phish"
"5","False","0","False","False","True","3","0","0","0","False","False","none","phish"
"6","False","0","False","False","True","2","0","0","0","False","False","7bit","phish"
"7","False","0","False","False","True","6","1","0","1","False","False","8bit","phish"
"8","False","0","False","False","True","14","0","1","0","False","False","8bit","phish"
"9","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"10","False","0","False","False","True","13","0","0","0","False","False","7bit","phish"
"11","False","0","False","False","True","4","0","0","0","True","False","7bit","phish"
"12","False","0","False","False","True","15","0","0","0","False","False","7bit","phish"
"13","False","0","False","False","True","24","1","1","1","True","False","7bit","phish"
"14","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"15","False","0","False","False","True","9","0","0","0","True","False","none","phish"
"16","False","0","False","False","True","14","0","0","0","False","False","8bit","phish"
"17","False","0","False","False","True","5","0","0","0","True","False","none","phish"
"18","False","0","False","False","True","5","0","0","0","True","False","none","phish"
"19","False","0","False","False","True","3","0","0","0","True","False","none","phish"
"20","False","0","False","False","True","3","0","0","0","True","False","none","phish"
"21","False","0","False","False","True","3","0","0","0","False","False","8bit","phish"
"22","False","0","False","False","True","5","0","0","0","False","False","8bit","phish"
"23","False","0","False","False","True","5","0","0","0","False","False","8bit","phish"
"24","False","0","False","False","True","3","0","0","0","True","False","8bit","phish"
"25","False","0","False","False","True","3","0","0","0","True","False","none","phish"
"26","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"27","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"28","False","0","False","False","True","3","0","0","0","False","False","7bit","phish"
"29","False","0","False","False","True","4","0","0","0","True","False","none","phish"
"30","False","0","False","False","True","2","0","0","0","True","False","7bit","phish"
"31","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"32","False","0","False","False","True","22","0","0","0","True","False","7bit","phish"
"33","False","0","False","False","True","22","0","0","0","True","False","7bit","phish"
"34","False","0","False","False","True","3","0","0","1","True","False","7bit","phish"
"35","False","0","False","False","True","6","1","0","1","False","False","8bit","phish"
"36","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"37","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"38","False","0","False","False","True","22","0","0","0","True","False","7bit","phish"
"39","False","0","False","False","True","1","0","0","0","False","False","7bit","phish"
"40","False","0","False","False","True","2","0","0","0","True","False","none","phish"
"41","False","1","False","False","True","0","0","0","0","False","False","none","phish"
"42","False","1","False","False","True","0","0","0","0","False","False","none","phish"
"43","False","1","False","False","True","0","0","0","0","False","False","none","phish"
"44","False","0","False","False","True","2","0","0","0","True","False","7bit","phish"
"45","False","0","False","False","True","8","0","0","0","False","False","none","phish"
"46","False","0","False","False","True","16","0","0","0","False","False","none","phish"
"47","False","0","False","False","True","2","0","0","0","True","False","none","phish"
